"","track.name","danceability","energy","loudness","acousticness","valence","tempo"
"255","Is There Something I Should Know?",0.57,0.967,-4.956,0.0218,0.776,124.856
"256","Never Gonna Let You Go",0.639,0.403,-12.401,0.567,0.324,132.56
"257","She Works Hard For The Money",0.758,0.638,-13.01,0.00486,0.984,136.502
"258","Electric Avenue",0.966,0.5,-7.692,0.192,0.799,121.996
"259","Maniac",0.611,0.704,-6.708,0.0553,0.731,156.69
"260","Sweet Dreams (Are Made of This) - Remastered",0.692,0.711,-7.498,0.225,0.875,125.135
"261","Flashdance...What a Feeling - Radio Edit",0.572,0.654,-7.027,0.0058,0.399,122.491
"262","Every Breath You Take - Remastered 2003",0.813,0.46,-9.78,0.56,0.729,117.387
"263","Missing You",0.552,0.552,-9.736,0.052,0.593,208.571
"264","Eyes Without A Face",0.391,0.815,-6.197,0.0177,0.647,84.383
"265","State of Shock",0.98,0.846,-7.696,0.283,0.891,121.562
"266","The Reflex",0.556,0.9,-6.11,0.123,0.804,126.686
"267","Jump (For My Love)",0.842,0.697,-13.796,0.161,0.916,134.533
"268","Stuck On You",0.522,0.346,-15.462,0.258,0.27,131.692
"269","Dancing In the Dark",0.527,0.942,-5.64,0.0115,0.495,148.723
"270","What's Love Got to Do with It",0.851,0.406,-11.631,0.219,0.793,97.84
"271","Ghostbusters",0.787,0.588,-14.228,0.0192,0.803,115.513
"272","When Doves Cry",0.729,0.989,-4.613,0.0102,0.84,126.47
"273","Freeway Of Love",0.693,0.839,-9.634,0.282,0.849,126.165
"274","Never Surrender",0.552,0.538,-11.085,0.516,0.401,104.131
"275","Raspberry Beret",0.761,0.67,-12.759,0.21,0.91,120.752
"276","If You Love Somebody Set Them Free",0.627,0.849,-10.61,0.137,0.817,125.058
"277","St. Elmos Fire (Man in Motion)",0.612,0.6,-10.945,0.15,0.471,111.203
"278","Sussudio - 2016 Remaster",0.714,0.935,-5.195,0.0529,0.725,121.232
"279","A View to a Kill",0.706,0.814,-5.405,0.0159,0.778,125.472
"280","The Power Of Love",0.768,0.829,-5.109,0.0964,0.962,118.773
"281","Every Time You Go Away",0.608,0.604,-12.285,0.169,0.673,164.254
"282","Shout",0.511,0.942,-10.407,0.174,0.498,97.909
"283","Danger Zone - From ""Top Gun"" Original Soundtrack",0.552,0.871,-7.251,0.154,0.737,156.786
"284","Mad About You",0.574,0.728,-7.267,0.000924,0.373,143.885
"285","Holding Back the Years",0.673,0.507,-9.882,0.47,0.574,86.105
"286","Venus",0.722,0.961,-4.812,0.0883,0.91,126.113
"287","There'll Be Sad Songs (To Make You Cry)",0.563,0.458,-7.673,0.748,0.259,79.738
"288","Higher Love - Full Album Version",0.702,0.779,-12.267,0.0561,0.949,98.7
"289","Invisible Touch",0.685,0.931,-2.746,0.284,0.834,131.053
"290","Sledgehammer",0.641,0.667,-7.349,0.0436,0.446,96.35
"291","Glory of Love",0.518,0.585,-8.485,0.0778,0.312,144.998
"292","Papa Don't Preach",0.807,0.906,-8.973,0.311,0.971,121.54
"293","Luka",0.63,0.697,-10.654,0.189,0.796,124.956
"294","Heart And Soul",0.457,0.667,-8.723,0.405,0.6,179.853
"295","Only in My Dreams",0.612,0.796,-10.885,0.124,0.895,124.854
"296","Who's That Girl",0.625,0.646,-13.592,0.214,0.826,103.893
"297","I Want Your Sex - Pts. 1 & 2 Remastered",0.812,0.6,-13.418,0.00509,0.8,99.189
"298","La Bamba",0.506,0.764,-12.239,0.144,0.868,156.336
"299","Shakedown - Remastered",0.571,0.938,-6.425,0.0391,0.508,170.677
"300","I Still Haven't Found What I'm Looking For - Remastered 2007",0.565,0.764,-9.43,0.0139,0.686,100.891
"301","I Wanna Dance with Somebody (Who Loves Me)",0.709,0.824,-8.824,0.207,0.867,118.814
"302","Alone",0.418,0.452,-13.099,0.638,0.168,175.088
"303","I Don't Wanna Live Without Your Love",0.432,0.669,-5.46,0.173,0.152,145.725
"304","I Don't Wanna Go On With You Like That",0.643,0.89,-8.359,0.042,0.965,134.9
"305","Make Me Lose Control",0.724,0.619,-9.074,0.0728,0.746,109.029
"306","Sweet Child O' Mine",0.449,0.901,-7.711,0.141,0.696,125.148
"307","Hands To Heaven",0.543,0.384,-15.018,0.242,0.407,128.768
"308","Pour Some Sugar On Me (2012)",0.497,0.849,-5.352,0.00985,0.72,169.937
"309","Hold On To The Nights",0.353,0.207,-14.718,0.656,0.184,144.539
"310","Monkey - Remastered",0.683,0.879,-9.487,0.0955,0.702,97.062
"311","The Flame",0.629,0.581,-11.856,0.513,0.359,97.074
"312","Roll With It",0.759,0.645,-13.352,0.07,0.954,117.254
"313","So Alive",0.7,0.569,-13.991,0.00545,0.924,118.829
"314","Good Thing",0.747,0.586,-10.119,0.0708,0.893,164.718
"315","Baby Don't Forget My Number",0.851,0.649,-12.877,0.00543,0.846,100.302
"316","Don't Wanna Lose You",0.545,0.356,-14.127,0.413,0.465,82.214
"317","On Our Own",0.659,0.899,-6.207,0.0035,0.562,101.802
"318","If You Don't Know Me by Now - 2008 Remaster",0.638,0.352,-9.266,0.492,0.204,94.173
"319","Batdance",0.594,0.702,-9.894,0.168,0.466,135.406
"320","Cold Hearted",0.879,0.679,-8.59,0.149,0.724,122.38
"321","Toy Soldiers",0.522,0.441,-11.703,0.416,0.199,130.133
"322","Right Here Waiting",0.395,0.252,-13.589,0.8,0.126,177.679
"323","Unskinny Bop",0.574,0.93,-2.949,0.0657,0.69,92.303
"324","Rub You The Right Way",0.66,0.873,-6.952,0.0152,0.864,111.872
"325","The Power",0.752,0.729,-15.565,0.0814,0.572,108.91
"326","It Must Have Been Love - From the Film ""Pretty Woman""",0.52,0.652,-6.655,0.34,0.722,80.609
"327","Hold On",0.728,0.464,-11.156,0.0865,0.383,96.944
"328","If Wishes Came True",0.493,0.453,-10.878,0.0944,0.188,143.725
"329","Step by Step",0.787,0.63,-12.295,0.0274,0.882,125.347
"330","Cradle Of Love",0.612,0.942,-4.588,0.0163,0.622,144.038
"331","She Ain't Worth It",0.782,0.881,-7.763,0.0418,0.909,102.491
"332","Vision of Love",0.256,0.463,-10.959,0.442,0.354,205.362
"333","Fading Like A Flower (Every Time You Leave)",0.609,0.668,-5.738,0.195,0.319,105.419
"334","I Wanna Sex You Up - Single Mix",0.551,0.591,-8.404,0.00549,0.474,201.799
"335","Summertime",0.677,0.54,-14.439,0.0455,0.469,95.116
"336","It Ain't Over 'Til It's Over",0.679,0.568,-10.74,0.422,0.93,159.69
"337","Every Heartbeat",0.648,0.89,-3.834,0.288,0.808,126.956
"338","Right Here Right Now",0.657,0.608,-13.565,0.0088,0.723,106.862
"339","Unbelievable",0.637,0.849,-6.855,0.000341,0.936,104.074
"340","Rush Rush",0.706,0.44,-11.577,0.763,0.395,90.012
"341","(Everything I Do) I Do It For You",0.526,0.365,-12.605,0.0775,0.253,131.253
"342","Life Is A Highway",0.683,0.751,-10.184,0.0681,0.841,103.036
"343","November Rain",0.294,0.641,-9.316,0.0163,0.226,79.759
"344","Under the Bridge",0.559,0.345,-13.496,0.0576,0.458,84.581
"345","This Used to Be My Playground",0.499,0.308,-11.692,0.754,0.0708,75.91
"346","Achy Breaky Heart",0.8,0.563,-10.209,0.051,0.961,121.808
